Date,YEAR,MO,DY,T2M,T2M_RANGE,T2M_MAX,T2M_MIN,PRECTOTCORR,PS,WS10M,WS50M
02/01/1981,1981,2,1,18.29,14.14,26.83,12.69,3.24,100.63,2.51,4.56
02/02/1981,1981,2,2,15.67,13.92,23.51,9.59,0,100.86,3.33,5.34
02/03/1981,1981,2,3,15.19,15.24,23.89,8.65,0,100.87,2.16,3.16
02/04/1981,1981,2,4,17.93,18.34,27.12,8.79,0,100.7,1.82,2.49
02/05/1981,1981,2,5,19.73,18.2,29.02,10.83,0,100.69,1.89,2.59
02/06/1981,1981,2,6,21.65,18.73,31.56,12.83,0,100.74,1.96,2.96
02/07/1981,1981,2,7,18.79,16.7,28.36,11.66,4.37,100.6,3.48,5.69
02/08/1981,1981,2,8,16.65,18.23,26.67,8.44,0,100.47,3.34,5.23
02/09/1981,1981,2,9,17.41,15.6,26.37,10.76,0.3,100.48,2.2,3.12
02/10/1981,1981,2,10,16.5,16.05,25.25,9.2,0.51,100.5,3.11,4.39
02/11/1981,1981,2,11,15.83,17.89,25.41,7.53,0.14,100.33,2.88,4.49
02/12/1981,1981,2,12,18.21,18.53,27.85,9.32,0,100.22,3.03,4.5
02/13/1981,1981,2,13,19.6,16.46,28.6,12.14,0,100.23,2.2,2.97
02/14/1981,1981,2,14,21.06,19.95,30.92,10.97,0,100.23,2.26,3.27
02/15/1981,1981,2,15,22.94,15.99,32.12,16.14,0,100.15,2.25,3.07
02/16/1981,1981,2,16,22.42,16.99,31.96,14.96,0.05,100.31,2.81,4.21
02/17/1981,1981,2,17,20.55,17.94,30.69,12.76,0,100.4,4.41,7.09
02/18/1981,1981,2,18,18.59,19.97,29.93,9.96,0.01,100.32,4.77,7.91
02/19/1981,1981,2,19,19.23,21.06,30.85,9.79,0,100.4,3.91,6.62
02/20/1981,1981,2,20,19.2,19.5,30.23,10.74,0,100.39,3.78,6.17
02/21/1981,1981,2,21,19.78,20.41,31.1,10.7,0,100.34,4.36,7.19
02/22/1981,1981,2,22,20.05,21.34,31.62,10.29,0,100.3,4.28,6.8
02/23/1981,1981,2,23,21.33,20.68,32.62,11.94,0,100.4,3.24,4.75
02/24/1981,1981,2,24,23.73,22.03,35.15,13.12,0,100.35,3.13,4.57
02/25/1981,1981,2,25,25.13,19.88,36.01,16.13,0,100.27,2.72,4.17
02/26/1981,1981,2,26,24.28,20.48,35.23,14.75,0,100.22,3.85,6.03
02/27/1981,1981,2,27,23.61,18.95,33.23,14.28,0,100.26,3.9,6.16
02/28/1981,1981,2,28,26.37,19.28,36.4,17.12,0,100.13,2.97,4.81
03/01/1981,1981,3,1,24.93,17.92,34.72,16.8,0.02,100.27,2.62,4.7
03/02/1981,1981,3,2,22.99,15.78,31.8,16.03,0.01,100.39,5.22,8.26
03/03/1981,1981,3,3,21.51,20.5,32.73,12.23,0,100.57,4.36,6.93
03/04/1981,1981,3,4,22.73,21.59,33.15,11.56,0,100.66,2.47,3.51
03/05/1981,1981,3,5,24.65,18.41,34.06,15.65,0,100.59,2.03,2.84
03/06/1981,1981,3,6,26.48,17.88,36.05,18.16,0,100.55,2.16,3.16
03/07/1981,1981,3,7,26.94,17.73,36.08,18.35,0,100.48,2.9,4.34
03/08/1981,1981,3,8,25.94,16.98,35,18.02,0,100.23,3.41,5.37
03/09/1981,1981,3,9,24.01,14.88,31.7,16.82,0,100.31,1.95,2.91
03/10/1981,1981,3,10,25.06,20.23,35.03,14.8,0.1,100.27,1.8,2.98
03/11/1981,1981,3,11,24.85,19.25,34.6,15.35,0.83,100.21,3.03,5.09
03/12/1981,1981,3,12,24.88,15.74,33.4,17.65,0.13,100.4,2.99,4.89
03/13/1981,1981,3,13,20.33,8.22,24.97,16.76,0.39,100.6,3.15,4.36
03/14/1981,1981,3,14,23.19,15.71,31.01,15.3,0,100.59,1.7,2.88
03/15/1981,1981,3,15,25.66,13.01,33.76,20.76,0.08,100.66,2.66,4.17
03/16/1981,1981,3,16,23.5,12.38,30.25,17.87,3.2,100.57,3.1,4.57
03/17/1981,1981,3,17,24.07,16.32,32.78,16.46,0,100.07,4.25,6.41
03/18/1981,1981,3,18,25.37,19.31,35.51,16.2,0.04,99.95,3.73,5.65
03/19/1981,1981,3,19,27.39,16.7,36.47,19.76,0.07,100,2.79,4.05
03/20/1981,1981,3,20,27.12,15.6,35.82,20.23,0.79,100.05,2.57,4.11
03/21/1981,1981,3,21,27.51,14.3,35.24,20.93,0.35,99.99,2.82,4.64
03/22/1981,1981,3,22,26.94,17.94,36.4,18.46,0,99.77,3.46,5.46
03/23/1981,1981,3,23,26.48,17.52,36.07,18.55,0.05,99.57,3.01,5.04
03/24/1981,1981,3,24,26.06,19.16,35.88,16.72,0,99.78,3.05,4.81
03/25/1981,1981,3,25,26.4,16.3,35.61,19.3,0,99.92,1.82,2.84
03/26/1981,1981,3,26,26.33,17.45,35.8,18.36,0.18,99.83,2.76,3.99
03/27/1981,1981,3,27,27.7,19.96,38.2,18.25,0,99.63,3.56,5.18
03/28/1981,1981,3,28,28.13,18.46,37.96,19.5,0,99.76,2.48,3.57
03/29/1981,1981,3,29,28.24,19.31,38.19,18.88,0,99.96,2.98,4.85
03/30/1981,1981,3,30,29.17,19.01,38.97,19.96,0.77,99.82,3.63,6.01
03/31/1981,1981,3,31,29.88,17.76,39.26,21.51,0.53,99.51,3.77,5.63
04/01/1981,1981,4,1,28.69,17.84,38.26,20.42,1.15,99.59,3.45,5.74
04/02/1981,1981,4,2,29.13,20.23,39.62,19.4,0.2,99.8,3.53,5.52
04/03/1981,1981,4,3,30.73,20.27,41.02,20.76,0,99.64,2.69,4.36
04/04/1981,1981,4,4,30.98,18.91,41.18,22.26,0,99.47,3.3,5.09
04/05/1981,1981,4,5,28.72,20.16,39.19,19.04,0.09,99.48,4.98,7.73
04/06/1981,1981,4,6,27.2,19.64,37.33,17.69,0,99.73,5.41,8.57
04/07/1981,1981,4,7,28.05,22.3,39.51,17.22,0,99.68,4.95,7.6
04/08/1981,1981,4,8,29.71,22.4,40.99,18.59,0,99.71,4.33,6.27
04/09/1981,1981,4,9,30.86,21.12,41.78,20.65,0,99.58,5.1,7.55
04/10/1981,1981,4,10,31.13,22.41,42.69,20.27,0,99.42,4.8,7.45
04/11/1981,1981,4,11,32.93,19.17,42.81,23.64,0,99.35,2.65,3.57
04/12/1981,1981,4,12,31.92,19.92,42.43,22.51,0.01,99.47,3.12,4.69
04/13/1981,1981,4,13,31.71,16.45,40.26,23.81,0.02,99.69,4.27,6.29
04/14/1981,1981,4,14,31.67,17.28,40.33,23.05,0,99.64,2.97,4.53
04/15/1981,1981,4,15,32.44,16.73,40.83,24.09,0.01,99.6,3.77,5.86
04/16/1981,1981,4,16,33.9,17.62,43.05,25.42,0.04,99.38,2.92,4.47
04/17/1981,1981,4,17,33.18,18.12,43.05,24.94,4.08,99.07,2.3,4.05
04/18/1981,1981,4,18,32.44,21.32,43.44,22.12,0.59,99.26,3.59,5.72
04/19/1981,1981,4,19,31.19,15.74,39.61,23.87,1.28,99.7,4,6.14
04/20/1981,1981,4,20,30.04,16.32,38.65,22.33,0.49,99.86,3.66,5.34
04/21/1981,1981,4,21,31.33,17.39,40.23,22.83,0,99.7,3.47,5.61
04/22/1981,1981,4,22,32.49,18.89,41.99,23.1,0,99.58,2.8,4.85
04/23/1981,1981,4,23,33.2,18.42,42.35,23.93,0.1,99.7,2.83,4.66
04/24/1981,1981,4,24,33.52,17.38,42.06,24.69,0,99.9,2.19,3.5
04/25/1981,1981,4,25,33.61,18.38,42.98,24.6,0,99.85,2.29,3.5
04/26/1981,1981,4,26,32.9,19.43,42.55,23.12,0.02,99.77,2.61,4.3
04/27/1981,1981,4,27,32.65,20.21,42.62,22.4,0.02,99.79,2.61,4.47
04/28/1981,1981,4,28,33.51,19.52,43.34,23.82,0,99.69,2.91,4.51
04/29/1981,1981,4,29,34.43,18.12,43.76,25.64,0,99.58,3.3,5
04/30/1981,1981,4,30,32.48,14,39.36,25.36,0.65,99.8,3.59,5.1
05/01/1981,1981,5,1,34.65,16.88,43.39,26.5,0.04,99.77,4.31,6.29
05/02/1981,1981,5,2,35.65,18.45,44.58,26.12,0,99.58,3.25,4.44
05/03/1981,1981,5,3,34.08,15.68,42.4,26.72,0,99.6,3.05,4.45
05/04/1981,1981,5,4,34.29,15.8,42.05,26.26,0.33,99.66,4.52,6.47
05/05/1981,1981,5,5,34.98,13.88,41.87,27.99,0,99.63,4.09,5.84
05/06/1981,1981,5,6,35.37,11.82,41.35,29.53,0.46,99.58,4.93,6.68
05/07/1981,1981,5,7,34.49,12.81,40.69,27.87,1.34,99.62,4.22,5.83
05/08/1981,1981,5,8,33.87,11.84,39.66,27.83,0.02,99.59,4.02,5.48
05/09/1981,1981,5,9,33.83,12.37,39.9,27.54,0.01,99.47,2.72,4.13
05/10/1981,1981,5,10,34.75,13.78,41.79,28.01,1.25,99.36,3.63,5.35
05/11/1981,1981,5,11,35.04,12.62,41.7,29.08,1.45,99.28,2.91,3.83
05/12/1981,1981,5,12,35.27,12.68,41.99,29.31,0,99.17,2.29,3.01
05/13/1981,1981,5,13,35.01,17.49,43.63,26.14,3.99,99,3.39,4.66
05/14/1981,1981,5,14,35.92,18.3,44.83,26.53,0,99.08,2.74,3.74
05/15/1981,1981,5,15,37.24,18.62,45.92,27.3,0.01,98.81,3.98,5.14
05/16/1981,1981,5,16,36.69,16.79,44.62,27.84,0,98.89,2.89,3.91
05/17/1981,1981,5,17,37.06,17.28,45.83,28.55,0.05,98.9,3.02,4.3
05/18/1981,1981,5,18,36.31,18.95,45.73,26.79,0,98.94,3.21,4.76
05/19/1981,1981,5,19,35.86,18.51,44.94,26.44,0,98.95,3.62,5.4
05/20/1981,1981,5,20,37.47,16.95,45.71,28.76,0,98.91,3.58,5.37
05/21/1981,1981,5,21,37.86,14.59,45.02,30.44,0.1,99.07,3.5,4.84
05/22/1981,1981,5,22,35.93,14.26,42.83,28.58,7.11,99.14,4.21,6.03
05/23/1981,1981,5,23,35.77,13.73,42.66,28.93,1.19,99.1,4.48,6.16
05/24/1981,1981,5,24,34.51,13.78,41.38,27.6,3.97,99.07,3.39,4.98
05/25/1981,1981,5,25,35.07,14.84,42.25,27.4,0.16,99.14,3.48,5.21
05/26/1981,1981,5,26,36.34,15.34,43.98,28.63,0,99.25,2.91,4.52
05/27/1981,1981,5,27,36.05,14.32,43.42,29.11,2.92,99.14,3.33,4.92
05/28/1981,1981,5,28,35.76,15.25,43.92,28.67,1.12,98.98,4.48,5.62
05/29/1981,1981,5,29,36.57,15.89,44.51,28.62,1.78,98.99,3.54,5.08
05/30/1981,1981,5,30,37.05,15.19,44.87,29.67,0.04,99.02,2.95,4.59
05/31/1981,1981,5,31,37,15.59,44.74,29.15,0.78,99.06,3.57,4.88
06/01/1981,1981,6,1,34.98,14.26,41.94,27.68,3.27,99.12,3.82,5.34
06/02/1981,1981,6,2,36.33,14.91,43.65,28.73,0.02,99.03,2.9,4.15
06/03/1981,1981,6,3,38.23,16.45,45.83,29.39,0.03,98.79,1.95,2.69
06/04/1981,1981,6,4,38.66,15.51,46.08,30.57,0.01,98.58,2.62,3.43
06/05/1981,1981,6,5,38.19,17.38,46.48,29.1,0.05,98.73,2.74,3.67
06/06/1981,1981,6,6,38.25,17.31,46.74,29.43,0.11,98.73,3.09,4.19
06/07/1981,1981,6,7,38.68,18.86,48.19,29.34,0,98.63,2.98,4.35
06/08/1981,1981,6,8,36.77,17.75,45.15,27.4,0.02,98.84,4.07,5.88
06/09/1981,1981,6,9,38.51,14.83,45.68,30.86,0,98.87,3.61,5.19
06/10/1981,1981,6,10,38.09,14.33,45.35,31.03,0.81,98.93,3.88,5.45
06/11/1981,1981,6,11,37.34,17.38,46.03,28.65,0.21,98.9,3.39,5.1
06/12/1981,1981,6,12,38.55,17.94,48.01,30.07,0,98.72,4.73,6.7
06/13/1981,1981,6,13,34.87,18.26,43.76,25.5,10.75,98.61,5.97,8.79
06/14/1981,1981,6,14,35.3,22.04,45.69,23.65,0,98.5,4.37,6.05
06/15/1981,1981,6,15,36.08,13.97,43.73,29.76,0,98.64,2.55,3.49
06/16/1981,1981,6,16,37.22,15.59,44.88,29.3,0,98.65,3.61,5.5
06/17/1981,1981,6,17,36.6,12.56,42.74,30.18,2.26,98.65,6.01,7.51
06/18/1981,1981,6,18,35.69,11.02,41.18,30.15,1.98,98.8,4.87,6.24
06/19/1981,1981,6,19,35.87,9.7,40.55,30.84,0.02,98.78,3.68,4.77
06/20/1981,1981,6,20,38.47,12.49,44.37,31.87,0.11,98.46,2.92,3.95
06/21/1981,1981,6,21,35.77,7.28,39.73,32.45,1.12,98.52,6.07,7.55
06/22/1981,1981,6,22,33.8,8.2,38.63,30.44,4.89,98.53,7.98,9.85
06/23/1981,1981,6,23,32.94,10.46,39.01,28.56,12.76,98.63,7.96,10.11
06/24/1981,1981,6,24,33.54,10.47,39.19,28.72,5.37,98.75,6.27,8.25
06/25/1981,1981,6,25,33.73,9.93,38.91,28.99,0.02,98.9,4.6,6.1
06/26/1981,1981,6,26,34.71,11.59,40.5,28.9,0.33,98.88,4.36,5.84
06/27/1981,1981,6,27,34.65,10.19,39.61,29.43,0.28,98.89,2.69,3.59
06/28/1981,1981,6,28,32.67,6.12,35.72,29.58,3.76,99.12,2.91,4.14
06/29/1981,1981,6,29,30.57,4.74,33.11,28.37,35.34,99.08,2.01,2.88
06/30/1981,1981,6,30,31.57,9.17,36.63,27.46,13.2,98.8,2.36,3.41
07/01/1981,1981,7,1,30.41,6.97,34.56,27.58,27.94,98.67,5.24,6.79
07/02/1981,1981,7,2,29.74,6.59,33.42,26.84,23.44,98.58,7.45,9.73
07/03/1981,1981,7,3,30.4,6.55,34.2,27.65,19.46,98.72,6.26,8.66
07/04/1981,1981,7,4,29.91,7.29,33.71,26.42,17.96,98.77,6.2,8.58
07/05/1981,1981,7,5,31.01,9.38,35.49,26.12,9.84,98.75,3.18,4.52
07/06/1981,1981,7,6,30.26,5.53,33.01,27.48,59.64,98.81,3.05,4.56
07/07/1981,1981,7,7,29.9,5.73,33.33,27.6,22.01,98.64,5.8,7.95
07/08/1981,1981,7,8,30.07,7.64,34.35,26.71,4.11,98.79,5.99,8.23
07/09/1981,1981,7,9,29.51,6.71,33.27,26.56,13.85,98.82,3.61,5.23
07/10/1981,1981,7,10,30.62,8.11,34.66,26.55,7.3,98.82,2.8,3.96
07/11/1981,1981,7,11,30.48,6.17,33.42,27.25,9.73,98.83,2.16,3.17
07/12/1981,1981,7,12,30.26,6.69,34.26,27.58,1.99,98.78,3.54,5.3
07/13/1981,1981,7,13,30.21,7.09,34.24,27.15,4.51,98.87,4.26,6.09
07/14/1981,1981,7,14,29.62,4.09,31.94,27.86,50.13,98.83,1.92,3.01
07/15/1981,1981,7,15,29.12,4.31,31.43,27.12,32.36,98.93,1.83,2.61
07/16/1981,1981,7,16,28.88,4.94,31.86,26.92,20.89,98.98,3.13,4.66
07/17/1981,1981,7,17,27.36,2.29,28.61,26.33,29.92,98.84,6.83,9.2
07/18/1981,1981,7,18,28.27,5.79,31.62,25.83,35.1,98.79,5.84,8.05
07/19/1981,1981,7,19,28.27,5.31,31.17,25.86,12.69,98.92,1.93,3.11
07/20/1981,1981,7,20,28.62,6.16,32.12,25.96,19.36,98.9,2.45,3.93
07/21/1981,1981,7,21,29.14,6.8,32.7,25.9,8.35,99.01,2.26,3.6
07/22/1981,1981,7,22,29.35,5.49,32.35,26.86,1.8,99.03,3.42,5.25
07/23/1981,1981,7,23,29.05,5.66,32.23,26.57,3.15,98.9,3.88,6.02
07/24/1981,1981,7,24,28.46,3.84,30.79,26.94,1.42,99.08,3.5,5.4
07/25/1981,1981,7,25,29.74,6.41,33.12,26.7,1.36,99.19,2.57,3.75
07/26/1981,1981,7,26,29.01,4.38,31.08,26.71,12.31,99.23,2.66,4.22
07/27/1981,1981,7,27,28.9,5.12,31.6,26.48,14.12,99.15,2.12,3.3
07/28/1981,1981,7,28,28.6,6.56,31.97,25.4,9.56,99.1,3.8,5.53
07/29/1981,1981,7,29,28.01,4.15,30.54,26.38,18.18,99.2,3.86,5.55
07/30/1981,1981,7,30,28.49,6.28,31.69,25.41,12.43,99.02,4.38,6.58
07/31/1981,1981,7,31,27.52,3.26,29.44,26.18,27.67,98.83,2.68,4.15
08/01/1981,1981,8,1,28.19,5.91,31.28,25.38,10.78,98.79,1.41,2.12
08/02/1981,1981,8,2,28.42,4.3,30.63,26.33,6.41,99.01,1.48,2.48
08/03/1981,1981,8,3,27.93,3.92,29.89,25.97,4.06,99.21,3.61,5.41
08/04/1981,1981,8,4,28.23,5.14,31.22,26.08,8.65,98.95,4.38,6.44
08/05/1981,1981,8,5,28.23,3.78,30.26,26.48,2.04,98.76,3.96,6.09
08/06/1981,1981,8,6,28.84,5.01,31.82,26.81,0.4,98.75,3.27,5.19
08/07/1981,1981,8,7,29.69,7.27,33.57,26.3,0.53,98.83,1.99,3.41
08/08/1981,1981,8,8,28.68,5.24,31.7,26.46,2.63,98.9,6.16,8.62
08/09/1981,1981,8,9,28.9,6.1,32.39,26.29,0.89,98.77,7.93,10.86
08/10/1981,1981,8,10,29.19,6.36,32.87,26.52,0.41,98.97,3.64,5.46
08/11/1981,1981,8,11,28.55,5.99,31.78,25.79,0.04,99.11,4.04,6.19
08/12/1981,1981,8,12,28.08,6.41,31.62,25.22,0.66,98.86,3.37,5.12
08/13/1981,1981,8,13,28.73,6.42,32.15,25.73,3.78,98.74,1.89,3.22
08/14/1981,1981,8,14,28.39,5.37,31.12,25.75,2.43,98.74,3.53,5.4
08/15/1981,1981,8,15,28.83,5.2,31.98,26.77,1.78,98.72,6.88,9.57
08/16/1981,1981,8,16,28.97,6.05,32.32,26.27,1.9,98.88,6.45,8.83
08/17/1981,1981,8,17,30.08,6.68,33.14,26.46,10.14,98.97,2.06,3.04
08/18/1981,1981,8,18,28.76,4.54,31.19,26.65,10.75,98.94,2.16,3.52
08/19/1981,1981,8,19,28.49,4.78,31.21,26.43,5.78,98.9,3.3,5.23
08/20/1981,1981,8,20,28.5,5.41,31.41,26,11.69,98.92,3.35,5.46
08/21/1981,1981,8,21,28.72,5.46,31.99,26.53,14.09,98.84,1.48,2.61
08/22/1981,1981,8,22,28.4,5.84,31.62,25.79,46.61,98.73,2.25,3.57
08/23/1981,1981,8,23,27.46,5.63,30.67,25.04,38.96,98.87,2.84,4.13
08/24/1981,1981,8,24,26.9,6.55,30.15,23.6,12.44,99.17,5.14,7.49
08/25/1981,1981,8,25,27.97,6.08,31.41,25.33,6.55,99.27,5.01,7.54
08/26/1981,1981,8,26,28.26,6.01,31.51,25.51,4.75,99.36,4.07,6.2
08/27/1981,1981,8,27,28.12,5.81,31.37,25.56,7.65,99.34,2.94,4.88
08/28/1981,1981,8,28,28.26,7.38,32.19,24.8,2.18,99.12,3.36,5.34
08/29/1981,1981,8,29,27.95,7.34,32.06,24.73,0.01,99.12,2.69,4.48
08/30/1981,1981,8,30,28.4,8.34,32.48,24.13,0.01,99.19,2.22,3.45
08/31/1981,1981,8,31,29.33,8.25,33.29,25.04,0.99,99.2,2.1,3.23
09/01/1981,1981,9,1,29.73,7.28,33.46,26.18,0.63,99.23,2.31,3.51
09/02/1981,1981,9,2,30.2,7.91,33.8,25.89,8.48,99.27,1.52,2.18
09/03/1981,1981,9,3,29.62,6.34,32.87,26.54,2.5,99.31,1.38,2.07
09/04/1981,1981,9,4,29.45,7.55,32.89,25.33,5.01,99.3,1.23,1.98
09/05/1981,1981,9,5,29.04,7.06,32.73,25.66,1.33,99.37,1.62,2.69
09/06/1981,1981,9,6,28.28,4.76,30.93,26.17,5.1,99.41,1.85,3.02
09/07/1981,1981,9,7,27.44,3.84,29.75,25.9,10.99,99.33,3.77,5.71
09/08/1981,1981,9,8,26.79,3.34,28.6,25.25,22.23,99.08,7.49,10.31
09/09/1981,1981,9,9,27.33,4.87,29.89,25.01,28.88,99.07,8.18,10.98
09/10/1981,1981,9,10,27.09,4.61,29.8,25.19,21.16,99.14,7.36,10.05
09/11/1981,1981,9,11,27.25,5.48,30.47,24.98,5.59,99.54,3.88,5.48
09/12/1981,1981,9,12,27.99,7.19,31.4,24.21,0.26,99.74,1.6,2.45
09/13/1981,1981,9,13,28.27,8.17,32.47,24.29,0,99.82,2.56,4.04
09/14/1981,1981,9,14,28.3,8.78,32.73,23.94,1.16,99.95,2.34,3.55
09/15/1981,1981,9,15,27.91,8.91,32.27,23.37,5.9,99.93,1.73,2.8
09/16/1981,1981,9,16,28.67,9.43,33.35,23.92,0.53,99.93,1.25,2.19
09/17/1981,1981,9,17,27.9,9.26,32.63,23.37,0,99.92,2.17,3.48
09/18/1981,1981,9,18,27.38,7.01,31.19,24.18,0,99.87,2.59,4.3
09/19/1981,1981,9,19,26.5,6.23,29.83,23.61,0.47,99.73,2.6,4.49
09/20/1981,1981,9,20,26.06,4.8,28.97,24.16,2.91,99.81,2.98,4.74
09/21/1981,1981,9,21,25.91,5.4,29.01,23.62,3.94,99.79,3.48,5.38
09/22/1981,1981,9,22,26.55,5.18,29.21,24.02,1.09,99.68,1.83,2.89
09/23/1981,1981,9,23,27.73,7.3,31.48,24.18,0.15,99.5,1.19,1.73
09/24/1981,1981,9,24,29.12,8.31,33.22,24.9,0.19,99.41,1.16,1.55
09/25/1981,1981,9,25,28.2,6.46,31.52,25.06,0.05,99.48,2.45,4.06
09/26/1981,1981,9,26,27.2,4.48,29.49,25.01,1.74,99.59,6.49,9.44
09/27/1981,1981,9,27,26.4,4.35,28.69,24.33,8.69,99.41,7.82,10.68
09/28/1981,1981,9,28,27.07,4.93,29.69,24.76,18.1,99.14,5.49,7.88
09/29/1981,1981,9,29,27.18,5.55,30.69,25.14,9.77,99.1,5.34,7.95
09/30/1981,1981,9,30,27.54,7.34,31.95,24.62,0.42,99.64,3.2,5.2
10/01/1981,1981,10,1,26.53,7.75,30.93,23.18,0.02,99.63,3.35,5.44
10/02/1981,1981,10,2,26.23,9.34,31.54,22.2,0,99.65,2.92,4.75
10/03/1981,1981,10,3,25.02,11.12,31.16,20.05,0,99.7,3.02,5.09
10/04/1981,1981,10,4,24.49,11.7,30.91,19.22,0,99.72,2.85,4.59
10/05/1981,1981,10,5,23.55,12.11,30.02,17.92,0,99.8,2.8,4.22
10/06/1981,1981,10,6,22.74,13.54,30.2,16.66,0,99.76,2.98,4.7
10/07/1981,1981,10,7,21.8,13.98,29.37,15.39,0,99.82,3.03,4.84
10/08/1981,1981,10,8,21.89,13.56,29,15.44,0,100,2.76,4.24
10/09/1981,1981,10,9,22.89,13.23,29.03,15.8,0,100.11,1.95,2.73
10/10/1981,1981,10,10,22.65,13.36,29.45,16.09,0,99.98,2.23,3.3
10/11/1981,1981,10,11,23.62,14.81,30.94,16.13,0,99.95,1.73,2.57
10/12/1981,1981,10,12,24.35,12.16,30.58,18.41,0,100.23,1.47,2.07
10/13/1981,1981,10,13,25.55,10.97,30.65,19.69,0,100.4,0.95,1.27
10/14/1981,1981,10,14,25.8,9.85,30.58,20.73,0,100.26,1.08,1.46
10/15/1981,1981,10,15,25.45,11.41,30.75,19.34,0,100.16,1.23,1.66
10/16/1981,1981,10,16,24.13,12.43,29.89,17.46,0,100.09,1.93,2.91
10/17/1981,1981,10,17,23.58,12.35,29.82,17.46,0,99.98,2.34,3.63
10/18/1981,1981,10,18,23.22,12.75,30.2,17.45,0,99.93,2.92,4.59
10/19/1981,1981,10,19,23.53,12.57,30.3,17.73,0,100.03,2.12,3.02
10/20/1981,1981,10,20,23.55,12.8,29.87,17.08,0,100.13,1.3,1.75
10/21/1981,1981,10,21,23.23,12.21,29.49,17.27,0,100.05,2.05,2.91
10/22/1981,1981,10,22,23.15,11.46,29.87,18.4,0,100.18,1.95,2.75
10/23/1981,1981,10,23,23.62,12.33,30.1,17.78,0,100.37,1.19,1.58
10/24/1981,1981,10,24,23.54,13.84,30.09,16.26,0,100.52,1.4,1.94
10/25/1981,1981,10,25,23.76,12.73,30.58,17.86,0,100.57,1.77,2.81
10/26/1981,1981,10,26,23.65,9.48,28.56,19.08,0.07,100.56,1.82,3.04
10/27/1981,1981,10,27,22.97,12.11,29.26,17.14,0,100.43,2.12,2.99
10/28/1981,1981,10,28,22.34,14.08,29.69,15.62,0,100.49,2.26,3.26
10/29/1981,1981,10,29,22.42,12.23,29.19,16.96,0.01,100.37,2,2.84
10/30/1981,1981,10,30,22.3,13.41,30.19,16.78,0.68,100.2,2.47,4.02
10/31/1981,1981,10,31,21.73,10.48,27.76,17.28,0.19,100.19,3.64,5.93
11/01/1981,1981,11,1,21.57,10.3,27.26,16.96,0.14,100.31,2.5,4.12
11/02/1981,1981,11,2,22.67,13.23,29.71,16.48,1.78,100.1,2.21,3.47
11/03/1981,1981,11,3,25.3,9.69,30.63,20.94,6.41,99.92,1.98,3.2
11/04/1981,1981,11,4,23.34,11.02,28.44,17.42,10.45,100,3.83,6.2
11/05/1981,1981,11,5,19.77,12.65,27.31,14.65,0,100.14,3.25,5.1
11/06/1981,1981,11,6,18.95,15.14,27.01,11.87,0.42,100.36,2.48,3.74
11/07/1981,1981,11,7,19.51,14.91,27.2,12.3,0,100.42,1.88,2.7
11/08/1981,1981,11,8,20.15,12.77,27.64,14.87,0,100.36,1.96,2.83
11/09/1981,1981,11,9,20.24,14.23,27.52,13.29,0.37,100.29,1.62,2.27
11/10/1981,1981,11,10,21.23,11.93,27.61,15.68,0,100.32,1.14,1.55
11/11/1981,1981,11,11,21.65,11.98,27.82,15.84,0,100.41,1.14,1.54
11/12/1981,1981,11,12,21.76,12.86,28.39,15.52,0.01,100.45,1.48,1.96
11/13/1981,1981,11,13,20.8,11.1,26.57,15.47,0.17,100.67,1.72,2.41
11/14/1981,1981,11,14,19.44,12.98,27.05,14.07,0,100.75,3.21,5.23
11/15/1981,1981,11,15,18.47,14.07,26.6,12.54,0,100.68,3.01,4.85
11/16/1981,1981,11,16,18.2,14.82,26.01,11.19,0,100.61,2.04,2.91
11/17/1981,1981,11,17,19.08,13.98,26.08,12.11,0,100.5,1.26,1.68
11/18/1981,1981,11,18,19.23,12.95,26.44,13.5,0,100.45,1.08,1.45
11/19/1981,1981,11,19,17.83,13.77,25.32,11.55,0,100.41,1.76,2.51
11/20/1981,1981,11,20,18.17,14.47,25.9,11.44,0,100.43,2.06,3.01
11/21/1981,1981,11,21,17.71,15.2,26.4,11.2,0,100.45,2.73,4.27
11/22/1981,1981,11,22,16.33,16.38,25.69,9.31,0,100.41,3.05,4.75
11/23/1981,1981,11,23,16.9,17.27,25.56,8.3,0,100.35,2.09,3.16
11/24/1981,1981,11,24,17.73,15.78,26.3,10.51,0,100.38,2.05,2.86
11/25/1981,1981,11,25,17.99,16.05,26.15,10.11,0,100.29,2.11,2.99
11/26/1981,1981,11,26,18.73,16.27,27.31,11.04,0,100.39,2.2,3.06
11/27/1981,1981,11,27,19.23,14.21,26.72,12.51,0,100.63,1.55,2.04
11/28/1981,1981,11,28,18.87,14.98,26.68,11.71,0,100.62,1.7,2.32
11/29/1981,1981,11,29,18.94,15.92,27.72,11.8,0,100.65,2.05,2.87
11/30/1981,1981,11,30,17.87,13.97,26.07,12.09,0,100.89,2.52,3.78
12/01/1981,1981,12,1,17.04,14.16,24.73,10.57,0,100.97,2.08,2.99
12/02/1981,1981,12,2,17.98,13.62,25.37,11.75,0,100.89,1.46,2.01
12/03/1981,1981,12,3,17.81,14.3,26.2,11.9,0,100.84,1.69,2.51
12/04/1981,1981,12,4,16.73,14.53,25.18,10.65,0,100.84,3.05,4.62
12/05/1981,1981,12,5,16.61,15.13,25.47,10.33,0,100.81,2.97,4.62
